generation, mean_fitness, parameter, parameter_value
11, 37.28483585220316, pop_size, 5
12, 42.6541609539786, pop_size, 5
13, 45.87325422958818, pop_size, 5
14, 44.58996315130793, pop_size, 5
15, 51.765496838532314, pop_size, 5
16, 52.56335107862314, pop_size, 5
17, 54.05729042254816, pop_size, 5
18, 55.08847636742414, pop_size, 5
19, 54.59575212555602, pop_size, 5
0, 4.611893378791472, pop_size, 6
1, 8.866616819291115, pop_size, 6
2, 10.737432301411303, pop_size, 6
3, 12.319948829061858, pop_size, 6
4, 15.475193034462512, pop_size, 6
5, 16.362614708933865, pop_size, 6
6, 16.91892515330454, pop_size, 6
7, 19.728306493508974, pop_size, 6
8, 21.750096542406194, pop_size, 6
9, 22.87946043904077, pop_size, 6
10, 21.900245402740612, pop_size, 6
11, 27.407655564042912, pop_size, 6
12, 26.982258661213837, pop_size, 6
13, 29.383684605396514, pop_size, 6
14, 29.69926726379391, pop_size, 6
15, 32.25398834873396, pop_size, 6
16, 34.52120023783974, pop_size, 6
17, 34.43572843079655, pop_size, 6
18, 36.585159551124825, pop_size, 6
19, 38.39159801504018, pop_size, 6
0, 4.581979789067075, pop_size, 7
1, 8.180104300639531, pop_size, 7
2, 11.321135392686557, pop_size, 7
3, 12.842389885594082, pop_size, 7
4, 13.729898724519824, pop_size, 7
5, 15.672068255629403, pop_size, 7
6, 17.54448464633713, pop_size, 7
7, 19.725906156659512, pop_size, 7
8, 21.895266579960172, pop_size, 7
9, 23.68464890668138, pop_size, 7
10, 25.27913630801361, pop_size, 7
11, 26.203290419364603, pop_size, 7
12, 28.58614182506111, pop_size, 7
13, 30.288698491642272, pop_size, 7
14, 32.10825574655242, pop_size, 7
15, 33.260406502675856, pop_size, 7
16, 35.37769175266887, pop_size, 7
17, 37.00612917594041, pop_size, 7
18, 38.4185626822317, pop_size, 7
19, 40.09173455433565, pop_size, 7
0, 6.2477950427088125, pop_size, 8
1, 9.935297732594027, pop_size, 8
2, 18.55107360256406, pop_size, 8
3, 20.47814337869667, pop_size, 8
4, 21.36961321472812, pop_size, 8
5, 23.374293548363944, pop_size, 8
6, 27.55575969025629, pop_size, 8
7, 28.8376333806171, pop_size, 8
8, 30.713988122266933, pop_size, 8
9, 33.35084964127064, pop_size, 8
10, 35.17571966400757, pop_size, 8
11, 35.8088214379812, pop_size, 8
12, 38.675801475967646, pop_size, 8
13, 39.054690237220655, pop_size, 8
14, 41.71562661410296, pop_size, 8
15, 44.718433559131974, pop_size, 8
16, 46.42149524620078, pop_size, 8
17, 49.02981886578888, pop_size, 8
18, 49.99452411397321, pop_size, 8
19, 49.906206714880426, pop_size, 8
0, 5.626805450842119, pop_size, 9
1, 7.858033914179891, pop_size, 9
2, 9.947688040022378, pop_size, 9
3, 13.974163699397566, pop_size, 9
4, 12.327009022391103, pop_size, 9
5, 15.431507384287613, pop_size, 9
6, 16.51878575670566, pop_size, 9
7, 17.882233074146438, pop_size, 9
8, 22.10587462646443, pop_size, 9
9, 23.69701301524932, pop_size, 9
10, 23.87965248016776, pop_size, 9
11, 25.50154115704017, pop_size, 9
12, 26.48101538130534, pop_size, 9
13, 28.470199607423833, pop_size, 9
14, 29.81302337498316, pop_size, 9
15, 28.94597933559244, pop_size, 9
16, 33.09771994062354, pop_size, 9
17, 35.50249642300824, pop_size, 9
18, 35.8651003344855, pop_size, 9
19, 39.58735123877636, pop_size, 9
0, 6.105934953994833, pop_size, 10
1, 6.7511278328811954, pop_size, 10
2, 8.197026167486111, pop_size, 10
3, 9.472606852434327, pop_size, 10
4, 10.766129217147533, pop_size, 10
5, 11.044894701697304, pop_size, 10
6, 11.998341815652356, pop_size, 10
7, 13.01401623343149, pop_size, 10
8, 12.917921022540492, pop_size, 10
9, 14.433333613972641, pop_size, 10
10, 15.100832779863103, pop_size, 10
11, 16.124359862702015, pop_size, 10
12, 18.145145117921345, pop_size, 10
13, 17.754420411315927, pop_size, 10
14, 17.938619284126027, pop_size, 10
15, 20.045311725586014, pop_size, 10
16, 19.91549936171455, pop_size, 10
17, 21.93300536585081, pop_size, 10
18, 22.82972783656118, pop_size, 10
19, 23.901805849417634, pop_size, 10
0, 5.846872149512065, pop_size, 11
1, 9.749028219331866, pop_size, 11
2, 13.83065601310247, pop_size, 11
3, 13.707816318598146, pop_size, 11
4, 14.018916636737828, pop_size, 11
5, 16.563102030017653, pop_size, 11
6, 17.291156200077072, pop_size, 11
7, 19.991860585928276, pop_size, 11
8, 19.713901337799314, pop_size, 11
9, 20.014153153442525, pop_size, 11
10, 21.030024862886787, pop_size, 11
11, 23.446810636851772, pop_size, 11
